Delta,Open Interest,Daily Volume,Bid,Ask,Strike,Bid,Ask,Daily Volume,Open Interest,Delta,Gamma,IV %,Price to ATM %
0.000753,5.000000,2.000000,0.000000,0.010000,540.000000,86.310000,87.120000,,,-0.998700,0.000105,0.591666,
0.000828,,,0.000000,0.010000,530.000000,76.200000,77.130000,,,-0.998625,0.000127,0.533633,
0.000873,,,0.000000,0.010000,525.000000,71.210000,72.170000,,,-0.998580,0.000141,0.503999,
0.000924,,,0.000000,0.010000,520.000000,66.280000,67.170000,,,-0.998529,0.000158,0.473928,
0.000983,41.000000,1.000000,0.000000,0.010000,515.000000,61.210000,62.170000,,,-0.998470,0.000178,0.443398,
0.001051,63.000000,1.000000,0.000000,0.010000,510.000000,56.210000,57.170000,,,-0.998402,0.000204,0.412386,
0.001131,,,0.000000,0.010000,505.000000,51.210000,52.130000,,,-0.998322,0.000236,0.380862,
0.001226,1766.000000,1.000000,0.000000,0.010000,500.000000,46.220000,47.120000,,,-0.998226,0.000278,0.348793,
0.001248,,,0.000000,0.010000,499.000000,45.720000,46.450000,,,-0.998205,0.000287,0.342311,
0.001270,,,0.000000,0.010000,498.000000,45.260000,45.870000,,,-0.998183,0.000298,0.335805,
0.001293,,,0.000000,0.010000,497.000000,43.310000,44.130000,,,-0.998159,0.000309,0.329274,
0.001318,,,0.000000,0.010000,496.000000,42.280000,43.130000,,,-0.998135,0.000320,0.322720,
0.001343,,,0.000000,0.010000,495.000000,41.220000,42.180000,,,-0.998110,0.000333,0.316140,
0.001369,,,0.000000,0.010000,494.000000,40.770000,41.590000,,,-0.998084,0.000346,0.309535,
0.001397,,,0.000000,0.010000,493.000000,39.730000,40.500000,,,-0.998056,0.000360,0.302905,
0.001426,,,0.000000,0.010000,492.000000,38.290000,39.130000,,,-0.998027,0.000375,0.296248,
0.001456,,,0.000000,0.010000,491.000000,37.270000,38.160000,,,-0.997997,0.000391,0.289564,
0.001488,199.000000,,0.000000,0.010000,490.000000,37.380000,37.910000,,,-0.997965,0.000408,0.282853,
0.001522,,,0.000000,0.010000,489.000000,36.080000,36.920000,,,-0.997931,0.000427,0.276115,
0.001557,,,0.000000,0.010000,488.000000,35.210000,35.970000,,,-0.997896,0.000447,0.269348,
0.001594,,,0.000000,0.010000,487.000000,33.270000,34.140000,,,-0.997859,0.000468,0.262552,
0.001633,254.000000,25.000000,0.000000,0.010000,486.000000,32.280000,33.140000,,,-0.997820,0.000492,0.255727,
0.001675,411.000000,5.000000,0.000000,0.010000,485.000000,31.250000,32.150000,,,-0.997778,0.000517,0.248871,
0.001718,0.000000,30.000000,0.000000,0.010000,484.000000,30.280000,31.150000,,,-0.997734,0.000544,0.241985,
0.001765,17.000000,194.000000,0.000000,0.010000,483.000000,29.250000,30.170000,8.000000,0.000000,-0.997688,0.000574,0.235067,
0.001815,,,0.000000,0.010000,482.000000,28.300000,29.140000,,,-0.997638,0.000607,0.228116,
0.001867,0.000000,1030.000000,0.000000,0.010000,481.000000,28.380000,28.890000,,,-0.997586,0.000642,0.221132,
0.001924,2462.000000,4.000000,0.000000,0.010000,480.000000,26.220000,27.140000,,,-0.997529,0.000681,0.214113,
0.001984,77.000000,9.000000,0.000000,0.010000,479.000000,25.340000,26.140000,,,-0.997469,0.000725,0.207059,
0.002049,300.000000,3.000000,0.000000,0.010000,478.000000,24.250000,25.140000,,,-0.997404,0.000773,0.199969,
0.002118,10.000000,491.000000,0.000000,0.010000,477.000000,24.120000,24.850000,,,-0.997335,0.000826,0.192841,
0.005438,7541.000000,413.000000,0.010000,0.020000,476.000000,22.220000,23.140000,,,-0.994015,0.001790,0.207561,0.007500
0.005633,3742.000000,3.000000,0.010000,0.020000,475.000000,21.430000,22.140000,,,-0.993819,0.001920,0.199661,0.007500
0.005845,23.000000,8496.000000,0.000000,0.010000,474.000000,20.230000,21.130000,,,-0.993608,0.002066,0.191710,
0.006076,63.000000,44.000000,0.010000,0.020000,473.000000,19.230000,20.140000,,,-0.993377,0.002231,0.183707,0.007500
0.006328,540.000000,14.000000,0.010000,0.020000,472.000000,18.250000,19.180000,,,-0.993125,0.002419,0.175650,0.007500
0.006605,29.000000,535.000000,0.010000,0.020000,471.000000,18.380000,18.960000,,,-0.992848,0.002635,0.167534,0.007500
0.002811,1753.000000,1142.000000,0.000000,0.010000,470.000000,17.230000,17.940000,7.000000,2.000000,-0.996642,0.001451,0.141764,
0.007252,682.000000,10303.000000,0.010000,0.020000,469.000000,16.200000,16.850000,,,-0.992201,0.003172,0.151117,0.007500
0.007632,1547.000000,66.000000,0.010000,0.020000,468.000000,14.220000,15.170000,,,-0.991820,0.003511,0.142809,0.007500
0.008061,1215.000000,27.000000,0.010000,0.020000,467.000000,13.720000,14.410000,,,-0.991392,0.003914,0.134428,0.007500
0.008549,1251.000000,126.000000,0.010000,0.020000,466.000000,12.240000,13.180000,,,-0.990904,0.004398,0.125969,0.007500
0.009108,9740.000000,2878.000000,0.020000,0.020000,465.000000,11.780000,12.390000,2.000000,3.000000,-0.990345,0.004987,0.117426,0.010000
0.014544,14034.000000,467.000000,0.020000,0.030000,464.000000,10.250000,11.190000,420.000000,0.000000,-0.984909,0.007554,0.116398,0.012500
0.020226,3189.000000,1472.000000,0.020000,0.030000,463.000000,9.250000,10.140000,1.000000,0.000000,-0.979227,0.010350,0.112606,0.012500
0.030593,2866.000000,1797.000000,0.050000,0.060000,462.000000,8.430000,9.170000,4.000000,1.000000,-0.968860,0.014884,0.110780,0.027500
0.041604,2158.000000,2622.000000,0.080000,0.090000,461.000000,8.280000,8.710000,9.000000,15.000000,-0.957849,0.019968,0.106229,0.042500
0.061249,17478.000000,24685.000000,0.130000,0.140000,460.000000,6.280000,7.140000,293.000000,19334.000000,-0.938204,0.027757,0.103980,0.067500
0.095155,4132.000000,3754.000000,0.210000,0.220000,459.000000,6.620000,6.730000,29.000000,41.000000,-0.904298,0.038549,0.104656,0.107500
0.139261,5424.000000,11011.000000,0.350000,0.350000,458.000000,4.760000,4.830000,440.000000,221.000000,-0.860192,0.050481,0.104737,0.175000
0.196598,7066.000000,14051.000000,0.530000,0.530000,457.000000,3.930000,3.980000,566.000000,281.000000,-0.802855,0.062751,0.105263,0.265000
0.265142,16814.000000,30824.000000,0.770000,0.770000,456.000000,3.940000,3.990000,798.000000,841.000000,-0.734311,0.074029,0.105501,0.385000
0.331982,16293.000000,50604.000000,1.090000,1.090000,455.000000,2.500000,2.520000,3442.000000,4271.000000,-0.667471,0.088332,0.097961,0.545000
0.424854,8778.000000,43197.000000,1.490000,1.490000,454.000000,1.910000,1.920000,18242.000000,8045.000000,-0.574599,0.094224,0.099118,0.745000
0.520018,5000.000000,52274.000000,2.000000,2.000000,453.000000,1.410000,1.420000,42169.000000,6826.000000,-0.479435,0.094449,0.100531,1.000000
0.610987,6822.000000,21868.000000,2.600000,2.600000,452.000000,1.030000,1.030000,39190.000000,7314.000000,-0.388466,0.089010,0.102626,0.727915
0.707164,7597.000000,4936.000000,3.300000,3.310000,451.000000,0.720000,0.720000,27014.000000,8996.000000,-0.292289,0.084567,0.096843,0.508834
0.782213,14895.000000,8777.000000,4.050000,4.120000,450.000000,0.490000,0.500000,29350.000000,30155.000000,-0.217240,0.071180,0.098447,0.349823
0.841844,5842.000000,6144.000000,4.150000,4.210000,449.000000,0.330000,0.340000,14696.000000,23179.000000,-0.157609,0.057115,0.100561,0.236749
0.886131,4796.000000,1292.000000,5.770000,5.880000,448.000000,0.220000,0.230000,8481.000000,25873.000000,-0.113322,0.044252,0.103484,0.159011
0.904817,1983.000000,64.000000,6.230000,6.340000,447.500000,0.190000,0.200000,1452.000000,3913.000000,-0.094636,0.038448,0.104509,0.137809
0.918590,2396.000000,656.000000,6.700000,6.820000,447.000000,0.160000,0.160000,12653.000000,8248.000000,-0.080863,0.033491,0.106693,0.113074
0.938285,3366.000000,440.000000,7.650000,7.780000,446.000000,0.110000,0.120000,3742.000000,12376.000000,-0.061167,0.025668,0.112328,0.081272
0.953049,3460.000000,715.000000,8.630000,8.750000,445.000000,0.090000,0.090000,6841.000000,17535.000000,-0.046404,0.019677,0.117724,0.063604
0.963257,2686.000000,143.000000,9.600000,9.710000,444.000000,0.070000,0.080000,5157.000000,60447.000000,-0.036196,0.015309,0.123699,0.053004
0.969178,2787.000000,431.000000,10.580000,10.720000,443.000000,0.060000,0.070000,1914.000000,11675.000000,-0.030275,0.012435,0.131450,0.045936
0.974474,4752.000000,428.000000,11.570000,11.710000,442.000000,0.050000,0.060000,1308.000000,7699.000000,-0.024979,0.010065,0.138349,0.038869
